hmdb_id,metabolite,smiles,inchikey,status
HMDB0000599,Chromium,[Cr+3],BFGKITSFLPAWGI-UHFFFAOYSA-N,quantified
HMDB0000608,Cobalt,[Co++],XLJKHNWPARRRJB-UHFFFAOYSA-N,quantified
HMDB0000619,Cholic acid,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,quantified
HMDB0000623,Dodecanedioic acid,OC(=O)CCCCCCCCCCC(O)=O,TVIDDXQYHWJXFK-UHFFFAOYSA-N,quantified
HMDB0000626,Deoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,KXGVEGMKQFWNSR-LLQZFEROSA-N,quantified
HMDB0000630,Cytosine,NC1=CC=NC(=O)N1,OPTASPLRGRRNAP-UHFFFAOYSA-N,quantified
HMDB0000641,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,quantified
HMDB0000651,Decanoylcarnitine,CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,LZOSYCMHQXPBFU-OAHLLOKOSA-N,quantified
HMDB0000657,Copper,[Cu++],JPVYNHNXODAKFH-UHFFFAOYSA-N,quantified
HMDB0000661,Glutaric acid,OC(=O)CCCC(O)=O,JFCQEDHGNNZCLN-UHFFFAOYSA-N,quantified
HMDB0000666,Heptanoic acid,CCCCCCC(O)=O,MNWFXJYAOYHMED-UHFFFAOYSA-N,quantified
HMDB0000673,Linoleic acid,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,quantified
HMDB0000684,L-Kynurenine,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,YGPSJZOEDVAXAB-QMMMGPOBSA-N,quantified
HMDB0000687,L-Leucine,CC(C)C[C@H](N)C(O)=O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,quantified
HMDB0000689,Isocaproic acid,CC(C)CCC(O)=O,FGKJLKRYENPLQH-UHFFFAOYSA-N,quantified
HMDB0000692,Fe2+,[Fe++],CWYNVVGOOAEACU-UHFFFAOYSA-N,quantified
HMDB0000695,Ketoleucine,CC(C)CC(=O)C(O)=O,BKAJNAXTPSGJCU-UHFFFAOYSA-N,quantified
HMDB0000696,L-Methionine,CSCC[C@H](N)C(O)=O,FFEARJCKVFRZRR-BYPYZUCNSA-N,quantified
HMDB0000714,Hippuric acid,OC(=O)CNC(=O)C1=CC=CC=C1,QIAFMBKCNZACKA-UHFFFAOYSA-N,quantified
HMDB0000715,Kynurenic acid,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,HCZHHEIFKROPDY-UHFFFAOYSA-N,quantified
HMDB0000718,Isovaleric acid,CC(C)CC(O)=O,GWYFCOCPABKNJV-UHFFFAOYSA-N,quantified
HMDB0000719,L-Homoserine,N[C@@H](CCO)C(O)=O,UKAUYVFTDYCKQA-VKHMYHEASA-N,quantified
HMDB0000725,4-Hydroxyproline,O[C@H]1CN[C@@H](C1)C(O)=O,PMMYEEVYMWASQN-DMTCNVIQSA-N,quantified
HMDB0000738,Indole,N1C=CC2=C1C=CC=C2,SIKJAQJRHWYJAI-UHFFFAOYSA-N,quantified
HMDB0000742,Homocysteine,N[C@@H](CCS)C(O)=O,FFFHZYDWPBMWHY-VKHMYHEASA-N,quantified
HMDB0000754,3-Hydroxyisovaleric acid,CC(C)(O)CC(O)=O,AXFYFNCPONWUHW-UHFFFAOYSA-N,quantified
HMDB0000756,Hexanoylcarnitine,CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,VVPRQWTYSNDTEA-LLVKDONJSA-O,quantified
HMDB0000763,5-Hydroxyindoleacetic acid,OC(=O)CC1=CNC2=C1C=C(O)C=C2,DUUGKQCEGZLZNO-UHFFFAOYSA-N,quantified
HMDB0000764,Hydrocinnamic acid,OC(=O)CCC1=CC=CC=C1,XMIIGOLPHOKFCH-UHFFFAOYSA-N,quantified
HMDB0000791,Octanoylcarnitine,CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,CXTATJFJDMJMIY-CYBMUJFWSA-O,quantified
HMDB0000792,Sebacic acid,OC(=O)CCCCCCCCC(O)=O,CXMXRPHRNRROMY-UHFFFAOYSA-N,quantified
HMDB0000819,Normetanephrine,COC1=CC(=CC=C1O)C(O)CN,YNYAYWLBAHXHLL-UHFFFAOYSA-N,quantified
HMDB0000820,Propyl alcohol,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,quantified
HMDB0000824,Propionylcarnitine,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,UFAHZIUFPNSHSL-MRVPVSSYSA-O,quantified
HMDB0000826,Pentadecanoic acid,CCCCCCCCCCCCCCC(O)=O,WQEPLUUGTLDZJY-UHFFFAOYSA-N,quantified
HMDB0000827,Stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,quantified
HMDB0000845,Neopterin,NC1=NC2=C(N=C(C=N2)C(O)C(O)CO)C(=O)N1,BMQYVXCPAOLZOK-UHFFFAOYSA-N,quantified
HMDB0000847,Pelargonic acid,CCCCCCCCC(O)=O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,detected
HMDB0000851,Pyridinoline,N[C@@H](CCC1=C[N+](C[C@H](O)CC[C@H](N)C([O-])=O)=CC(O)=C1C[C@H](N)C(O)=O)C(O)=O,LCYXYLLJXMAEMT-SAXRGWBVSA-N,quantified
HMDB0000863,Isopropyl alcohol,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,quantified
HMDB0000879,Tetrahydrodeoxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,CYKYBWRSLLXBOW-GDYGHMJCSA-N,quantified
HMDB0000883,L-Valine,CC(C)[C@H](N)C(O)=O,KZSNJWFQEVHDMF-BYPYZUCNSA-N,quantified
HMDB0000888,Undecanedioic acid,OC(=O)CCCCCCCCCC(O)=O,LWBHHRRTOZQPDM-UHFFFAOYSA-N,quantified
HMDB0000892,Valeric acid,CCCCC(O)=O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,quantified
HMDB0000898,1-Methylhistamine,CN1C=NC(CCN)=C1,FHQDWPCFSJMNCT-UHFFFAOYSA-N,quantified
HMDB0000904,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,quantified
HMDB0000906,Trimethylamine,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,quantified
HMDB0000910,Tridecanoic acid,CCCCCCCCCCCCC(O)=O,SZHOJFHSIKHZHA-UHFFFAOYSA-N,detected
HMDB0000925,Trimethylamine N-oxide,C[N+](C)(C)[O-],UYPYRKYUKCHHIB-UHFFFAOYSA-N,quantified
