index,hmdb_id,metabolite,smiles,n_diseases
230,HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",[H][C@@]12CCC([C@H](C)CCCC(C)(C)O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@@]2([H])C[C@H](O)CC[C@]12C,1
231,HMDB0000517,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,1
232,HMDB0000510,Aminoadipic acid,N[C@@H](CCCC(O)=O)C(O)=O,1
233,HMDB0000501,7-Ketocholesterol,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,1
234,HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",[H]C1CC([C@@H](C)C[C@H](O)CC(C)(C)O)[C@]2(C)C1[C@]1([H])[C@H](O)C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@@H]2O,1
235,HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,1
236,HMDB0000474,Butanone,CCC(C)=O,1
237,HMDB0000300,Uracil,O=C1NC=CC(=O)N1,1
238,HMDB0000472,5-Hydroxy-L-tryptophan,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,1
239,HMDB0000466,3-Methylindole,CC1=CNC2=C1C=CC=C2,1
240,HMDB0000462,Allantoin,NC(=O)NC1NC(=O)NC1=O,1
241,HMDB0000379,2-Methylcitric acid,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,1
242,HMDB0000374,17-Hydroxyprogesterone,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
243,HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C(O)=O,1
244,HMDB0000317,2-Hydroxy-3-methylpentanoic acid,CC[C@@H](C)[C@@H](O)C(O)=O,1
245,HMDB0000306,Tyramine,NCCC1=CC=C(O)C=C1,1
246,HMDB0000187,L-Serine,N[C@@H](CO)C(O)=O,1
247,HMDB0000182,L-Lysine,NCCCC[C@H](N)C(O)=O,1
248,HMDB0000177,L-Histidine,N[C@@H](CC1=CN=CN1)C(O)=O,1
249,HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
250,HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1
251,HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,1
252,HMDB0000063,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
253,HMDB0000060,Acetoacetic acid,CC(=O)CC(O)=O,1
254,HMDB0000058,Cyclic AMP,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
255,HMDB0000056,beta-Alanine,NCCC(O)=O,1
256,HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,1
257,HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
258,HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
259,HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
260,HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,1
261,HMDB0000036,Taurocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,1
262,HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,1
263,HMDB0000033,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,1
264,HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1
265,HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,1
266,HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,1
267,HMDB0000014,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,1
268,HMDB0000087,Dimethylamine,CNC,1
269,HMDB0000092,Dimethylglycine,CN(C)CC(O)=O,1
270,HMDB0000175,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1
271,HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,1
272,HMDB0000172,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,1
273,HMDB0000168,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,1
