hmdb_id,metabolite,smiles,status
HMDB0003375,(+)-Limonene,CC(=C)[C@@H]1CCC(C)=CC1,ok
HMDB0003407,Diacetyl,CC(=O)C(C)=O,ok
HMDB0003424,1-Hexadecanol,CCCCCCCCCCCCCCCCO,ok
HMDB0003543,Butanal,CCCC=O,ok
HMDB0003625,Mercury,[Hg++],ok
HMDB0003638,Cadmium,[Cd++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0003642,Strontium,[Sr++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0003671,2-Heptanone,CCCCCC(C)=O,ok
HMDB0003990,"3b,5a,6b-Cholestanetriol",[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@@H](O)[C@@]2(O)C[C@@H](O)CC[C@]12C,ok
HMDB0003993,alpha-Carotene,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,ok
HMDB0004118,Antimony,[Sb+3],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0004142,Barium,[Ba++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0004158,Urobilinogen,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(CC3NC(=O)C(C=C)=C3C)N2)N1,ok
HMDB0004160,Urobilin,[H]C(C1=C(CCC(O)=O)C(C)=C(CC2NC(=O)C(C)=C2CC)N1)=C1N=C(CC2NC(=O)C(CC)=C2C)C(C)=C1CCC(O)=O,ok
HMDB0004259,Acetyl-N-formyl-5-methoxykynurenamine,COC1=CC(C(=O)CCNC(C)=O)=C(NC=O)C=C1,ok
HMDB0004327,1-Butanol,CCCCO,ok
HMDB0004628,Lead,[Pb++],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0005842,2-Oxohexane,CCCCC(C)=O,ok
HMDB0005879,Dimethyldisulfide,CSSC,ok
HMDB0005949,Lithium,[Li+],failed: PaDEL-Descriptor encountered an error: PaDEL-Descriptor timed out during subprocess call
HMDB0005994,Hexanal,CCCCCC=O,ok
HMDB0006006,Isobutanol,CC(C)CO,ok
HMDB0006007,Isopentanol,CC(C)CCO,ok
HMDB0006112,Malondialdehyde,O=CCC=O,ok
HMDB0006115,Benzaldehyde,O=CC1=CC=CC=C1,ok
HMDB0006119,7beta-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,ok
HMDB0006225,Ercalcitriol,C[C@H](\C=C\[C@H](C)C(O)(C)C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,ok
HMDB0006236,Phenylacetaldehyde,O=CCC1=CC=CC=C1,ok
HMDB0006478,Isovaleraldehyde,CC(C)CC=O,ok
HMDB0006483,D-Aspartic acid,N[C@H](CC(O)=O)C(O)=O,ok
